"Exp","Site","Hole","Latitude_DD","Longitude_DD","Water.depth..m.","Penetration.DSF..m.","Cored.interval..m.","Recovered.length..m.","Recovery....","Drilled.interval..m.","Drilled.interval..no..","Total.cores..no..","APC.cores..no..","HLAPC.cores..no..","XCB.cores..no..","RCB.cores..no..","Other.cores..no..","Date.started..UTC.","Date.finished..UTC.","Time.on.hole..days.","Comments","Latitude","Longitude","program","repository"
"1","1","*",25.8583,-92.1833,2827,86.3,77.2,58.7,76.04,9.1,1,9,0,0,0,8,1,NA,NA,0,NA,"25 51.498 N","92 10.998 W","DSDP","GCR"
"1","2","*",23.455,-92.58667,3572,26.5,26.5,12.1,45.66,NA,0,5,0,0,0,5,0,NA,NA,0,NA,"23 27.3 N","92 35.2002 W","DSDP","GCR"
"1","3","*",23.03,-92.0433,3747,99.2,99.2,46.6,46.98,NA,0,11,0,0,0,11,0,NA,NA,0,NA,"23 1.8 N","92 2.598 W","DSDP","GCR"
"1","4","*",24.478,-73.792,5319,36.7,36.7,12.9,35.15,NA,0,4,0,0,0,4,0,NA,NA,0,NA,"24 28.68 N","73 47.52 W","DSDP","GCR"
"1","4","A",24.478,-73.792,5319,18.2,18.2,5.7,31.32,NA,0,2,0,0,0,2,0,NA,NA,0,NA,"24 28.68 N","73 47.52 W","DSDP","GCR"
"1","5","*",24.7265,-73.641,5354,27.4,27.4,6.4,23.36,NA,0,3,0,0,0,3,0,NA,NA,0,NA,"24 43.59 N","73 38.46 W","DSDP","GCR"
"1","5","A",24.7265,-73.641,5354,58.3,58.3,1.9,3.26,NA,0,7,0,0,0,7,0,NA,NA,0,NA,"24 43.59 N","73 38.46 W","DSDP","GCR"
"1","6","*",30.8398,-67.6477,5124,46.6,46.6,28.3,60.73,NA,0,6,0,0,0,6,0,NA,NA,0,NA,"30 50.388 N","67 38.862 W","DSDP","GCR"
"1","6","A",30.8398,-67.6477,5124,8.9,8.9,8.9,100,NA,0,1,0,0,0,1,0,NA,NA,0,NA,"30 50.388 N","67 38.862 W","DSDP","GCR"
"1","7","*",30.134,-68.2967,5182,9.7,9.7,9.7,100,NA,0,2,0,0,0,2,0,NA,NA,0,NA,"30 8.04 N","68 17.802 W","DSDP","GCR"
"1","7","A",30.134,-68.2967,5182,19.8,18.3,4.5,24.59,1.5,1,2,0,0,0,2,0,NA,NA,0,NA,"30 8.04 N","68 17.802 W","DSDP","GCR"
"10","85","*",22.8415,-91.4228,3749,212.6,38.6,34.98,90.62,174,5,5,0,0,0,5,0,NA,"02/22/1970 18:00",0,NA,"22 50.49 N","91 25.368 W","DSDP","GCR"
"10","85","A",22.8415,-91.4228,3749,302,39,0.5,1.28,263,2,2,0,0,0,2,0,NA,"02/24/1970 11:30",0,NA,"22 50.49 N","91 25.368 W","DSDP","GCR"
"10","86","*",22.8747,-90.9625,1481,691.1,102.6,42.6,41.52,588.5,11,14,0,0,0,14,0,NA,"02/26/1970 22:30",0,NA,"22 52.482 N","90 57.75 W","DSDP","GCR"
"10","87","*",23.015,-92.086,3761,700,9,2.5,27.78,691,2,1,0,0,0,1,0,NA,NA,0,NA,"23 0.9 N","92 5.16 W","DSDP","GCR"
"10","88","*",21.3822,-94.0035,2532,135,32,33,103.13,103,3,5,0,0,0,5,0,"03/04/1970 11:30","03/04/1970 21:00",0,NA,"21 22.932 N","94 0.21 W","DSDP","GCR"
"10","89","*",20.8902,-95.1122,3067,380,35.5,26,73.24,344.5,5,6,0,0,0,6,0,"03/05/1970 21:30","03/06/1970 19:30",0,NA,"20 53.412 N","95 6.732 W","DSDP","GCR"
"10","90","*",23.7967,-94.7682,3713,768,86.5,57.5,66.47,681.5,11,13,0,0,0,13,0,"03/09/1970 09:30","03/11/1970 02:00",0,NA,"23 47.802 N","94 46.092 W","DSDP","GCR"
"10","91","*",23.7733,-93.3462,3763,899.6,208.6,149.99,71.9,691,10,25,0,0,0,25,0,NA,"03/15/1970 01:00",0,NA,"23 46.398 N","93 20.772 W","DSDP","GCR"
"10","92","*",25.8448,-91.8215,2573,282,74,39.9,53.92,208,6,11,0,0,0,11,0,"03/16/1970 14:00",NA,0,NA,"25 50.688 N","91 49.29 W","DSDP","GCR"
"10","93","*",22.6208,-91.4797,3090,1.5,1.5,1.7,113.33,NA,0,1,0,0,0,1,0,NA,NA,0,NA,"22 37.248 N","91 28.782 W","DSDP","GCR"
"10","94","*",24.5273,-88.4693,1793,660.7,295.7,175.2,59.25,365,15,40,0,0,0,40,0,"03/22/1970 22:00","03/26/1970 08:45",0,NA,"24 31.638 N","88 28.158 W","DSDP","GCR"
"10","95","*",24.15,-86.3975,1633,463,170,118.1,69.47,293,10,22,0,0,0,22,0,"03/27/1970 08:00","03/30/1970 00:00",0,NA,"24 9 N","86 23.85 W","DSDP","GCR"
"10","96","*",23.7427,-85.7633,3439,332,38,27.6,72.63,294,4,5,0,0,0,5,0,NA,NA,0,NA,"23 44.562 N","85 45.798 W","DSDP","GCR"
"10","97","*",23.8842,-84.4457,2930,337,59,35.9,60.85,278,6,12,0,0,0,12,0,"04/01/1970 13:15","04/03/1970 16:45",0,NA,"23 53.052 N","84 26.742 W","DSDP","GCR"
"100","625","A",28.8316666666667,-87.16,889,2.8,2.8,2.8,100,NA,0,1,0,0,0,1,5,NA,NA,0,NA,"28 49.9 N","87 9.6 W","ODP","GCR"
"100","625","B",28.8316666666667,-87.16,889,235.2,235.2,222.22,94.48,NA,0,27,23,0,4,0,0,NA,NA,0,NA,"28 49.9 N","87 9.6 W","ODP","GCR"
"100","625","C",28.8316666666667,-87.16,889,39.5,39.5,39.36,99.65,NA,0,4,4,0,0,0,0,NA,NA,0,NA,"28 49.9 N","87 9.6 W","ODP","GCR"
"101","626","A",25.6000216666667,-79.5467666666667,846.8,12.8,12.8,5.01,39.14,NA,0,2,0,0,0,2,0,"02/01/1985 12:55","02/01/1985 18:25",0,NA,"25 36.0013 N","79 32.806 W","ODP","BCR"
"101","626","B",25.6006216666667,-79.5467666666667,860,19.2,19.2,6.97,36.3,NA,0,2,0,0,0,2,3,"02/02/1985 10:55","02/03/1985 01:50",0,NA,"25 36.0373 N","79 32.806 W","ODP","BCR"
"101","626","C",25.6003116666667,-79.5466666666667,855,179.3,179.3,66.84,37.28,NA,0,19,7,0,12,0,0,"02/03/1985 16:45","02/04/1985 22:45",0,NA,"25 36.0187 N","79 32.8 W","ODP","BCR"
"101","626","D",25.6003116666667,-79.5467666666667,854,267.4,267.4,9.72,3.64,NA,0,28,0,0,0,28,0,"02/05/1985 22:15","02/07/1985 22:22",0,NA,"25 36.0187 N","79 32.806 W","ODP","BCR"
"101","627","A",27.635,-78.2942,1026,8.8,8.8,9.47,107.61,NA,0,1,1,0,0,0,0,"02/10/1985 16:00",NA,0,NA,"27 38.1 N","78 17.652 W","ODP","BCR"
"101","627","B",27.635,-78.2942,1036,535.8,535.8,350.96,65.5,NA,0,60,16,0,44,0,0,"02/10/1985 18:00","02/16/1985 01:25",0,NA,"27 38.1 N","78 17.652 W","ODP","BCR"
"101","628","A",27.5308,-78.3158,974,298.4,298.4,217.49,72.89,NA,0,32,21,0,11,0,0,"02/18/1985 07:15","02/19/1985 13:30",0,NA,"27 31.848 N","78 18.948 W","ODP","BCR"
"101","629","A",27.4065,-78.3683,563,27.1,27.1,6.24,23.03,NA,0,3,2,0,1,0,0,"02/20/1985 00:01","02/20/1985 02:30",0,NA,"27 24.39 N","78 22.098 W","ODP","BCR"
"101","630","A",27.449,-78.3405,815,250.3,250.3,220.65,88.15,NA,0,26,18,0,8,0,0,"02/20/1985 13:20","02/21/1985 08:50",0,NA,"27 26.94 N","78 20.43 W","ODP","BCR"
"101","630","B",27.449,-78.3405,815,79.9,79.9,79.68,99.72,NA,0,9,9,0,0,0,0,"02/21/1985 11:50","02/21/1985 18:15",0,NA,"27 26.94 N","78 20.43 W","ODP","BCR"
"101","630","C",27.449,-78.3405,815,9.3,9.3,9.31,100.11,NA,0,1,1,0,0,0,0,"02/21/1985 19:42",NA,0,NA,"27 26.94 N","78 20.43 W","ODP","BCR"
"101","631","A",23.5867,-75.7427,1102,244.3,244.3,161.16,65.97,NA,0,25,10,0,15,0,0,"02/23/1985 14:30","02/24/1985 18:00",0,NA,"23 35.202 N","75 44.562 W","ODP","BCR"
"101","632","A",23.8407,-75.4355,2007,141,141,83.45,59.18,NA,0,16,11,0,5,0,0,"02/25/1985 14:55","02/26/1985 12:10",0,NA,"23 50.442 N","75 26.13 W","ODP","BCR"
"101","632","B",23.8407,-75.4355,2007,162.7,162.7,34.96,21.49,NA,0,17,0,0,0,17,0,"02/27/1985 12:10","02/28/1985 13:30",0,NA,"23 50.442 N","75 26.13 W","ODP","BCR"
"101","633","A",23.6885,-75.6235,1690,228.3,228.3,111.34,48.77,NA,0,24,9,0,15,0,0,"03/01/1985 11:45","03/02/1985 14:00",0,NA,"23 41.31 N","75 37.41 W","ODP","BCR"
"101","634","A",25.3837,-77.3147,2864,322.5,322.5,27.85,8.64,NA,0,32,0,0,0,32,0,"03/04/1985 03:20","03/07/1985 10:10",0,NA,"25 23.022 N","77 18.882 W","ODP","BCR"
"101","635","A",25.4188,-77.332,3445,20.1,20.1,6.39,31.79,NA,0,3,0,0,0,3,0,"03/09/1985 09:45","03/09/1985 14:30",0,NA,"25 25.128 N","77 19.92 W","ODP","BCR"
"101","635","B",25.4197,-77.333,3483,117.7,117.7,31.3,26.59,NA,0,14,0,0,0,14,0,"03/09/1985 22:30","03/12/1985 04:00",0,NA,"25 25.182 N","77 19.98 W","ODP","BCR"
"101","636","A",25.4185,-77.3058,3581,3,3,0.07,2.33,NA,0,1,0,0,0,1,1,"03/12/1985 19:15","03/13/1985 01:23",0,NA,"25 25.11 N","77 18.348 W","ODP","BCR"
"102","418","A",25.035,-68.0572883333333,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,"25 2.1 N","68 3.4373 W","ODP","no recovery"
"103","637","A",42.0883,-12.8633,5311,285.6,285.6,116.33,40.73,NA,0,30,0,0,0,30,0,"04/29/1985 20:45","05/03/1985 14:50",0,NA,"42 5.298 N","12 51.798 W","ODP","BCR"
"103","638","A",42.1533,-12.1967,4673,44.6,44.6,0,0,NA,0,1,0,0,0,0,1,"05/06/1985 01:35",NA,0,NA,"42 9.198 N","12 11.802 W","ODP","BCR"
"103","638","B",42.1533,-12.1967,4673,431.1,431.1,212.87,49.38,NA,0,45,0,0,0,45,0,"05/06/1985 03:45","05/11/1985 01:45",0,NA,"42 9.198 N","12 11.802 W","ODP","BCR"
"103","638","C",42.1533,-12.1967,4673,135.2,135.2,37.7,27.88,NA,0,14,0,0,0,14,0,"05/18/1985 11:30","05/22/1985 06:35",0,NA,"42 9.198 N","12 11.802 W","ODP","BCR"
"103","639","A",42.1433,-12.2483,4735,89.8,89.8,35.72,39.78,NA,0,10,0,0,0,10,0,"05/23/1985 21:45","05/25/1985 22:45",0,NA,"42 8.598 N","12 14.898 W","ODP","BCR"
"103","639","B",42.1433,-12.25,4758,26.2,26.2,12.67,48.36,NA,0,4,0,0,0,4,0,"05/26/1985 15:05","05/27/1985 07:15",0,NA,"42 8.598 N","12 15 W","ODP","BCR"
"103","639","C",42.1433,-12.2517,4792,22.4,22.4,4.84,21.61,NA,0,2,0,0,0,2,0,"05/27/1985 18:09","05/27/1985 20:45",0,NA,"42 8.598 N","12 15.102 W","ODP","BCR"
"103","639","D",42.1433,-12.255,4753,113.5,113.5,24.5,21.59,NA,0,12,0,0,0,12,1,"05/28/1985 07:00","05/30/1985 14:15",0,NA,"42 8.598 N","12 15.3 W","ODP","BCR"
"103","639","E",42.1433,-12.2567,4770,38.5,38.5,1.95,5.06,NA,0,4,0,0,0,4,0,"06/06/1985 20:00","06/07/1985 10:00",0,NA,"42 8.598 N","12 15.402 W","ODP","BCR"
"103","639","F",42.1433,-12.2583,4771,13,13,0.89,6.85,NA,0,2,0,0,0,2,0,"06/07/1985 22:30","06/08/1985 10:20",0,NA,"42 8.598 N","12 15.498 W","ODP","BCR"
"103","640","A",42.0167,-12.4633,5201,86.8,86.8,15.72,18.11,NA,0,9,0,0,0,9,0,"06/04/1985 18:55","06/05/1985 16:45",0,NA,"42 1.002 N","12 27.798 W","ODP","BCR"
"103","641","A",42.155,-12.1817,4646,63.6,63.6,40.37,63.47,NA,0,7,0,0,7,0,0,"06/09/1985 09:00","06/10/1985 00:45",0,NA,"42 9.3 N","12 10.902 W","ODP","BCR"
"103","641","B",42.155,-12.1817,4649,35,NA,NA,0,35,1,0,0,0,0,0,0,NA,NA,0,NA,"42 9.3 N","12 10.902 W","ODP","BCR"
"103","641","C",42.155,-12.1817,4650,154.2,154.2,112.48,72.94,NA,0,16,0,0,0,16,0,"06/12/1985 10:30","06/14/1985 04:45",0,NA,"42 9.3 N","12 10.902 W","ODP","BCR"
"104","642","A",67.225,2.9283,1281.6,9.5,9.5,9.9,104.21,NA,0,1,1,0,0,0,0,"06/28/1985 14:30",NA,0,NA,"67 13.5 N","2 55.698 E","ODP","BCR"
"104","642","B",67.225,2.9283,1281.6,221.1,221.1,214.61,97.06,NA,0,25,25,0,0,0,0,"06/28/1985 15:20","06/29/1985 17:50",0,NA,"67 13.5 N","2 55.698 E","ODP","BCR"
"104","642","C",67.22,2.93,1281.4,199.6,199.6,194.93,97.66,NA,0,24,24,0,0,0,0,"06/30/1985 00:10","07/01/1985 10:46",0,NA,"67 13.2 N","2 55.8 E","ODP","BCR"
"104","642","D",67.22,2.93,1281.4,140,140,114.58,81.84,NA,0,19,0,0,17,0,3,"07/01/1985 20:50","07/02/1985 22:08",0,NA,"67 13.2 N","2 55.8 E","ODP","BCR"
"104","642","E",67.22,2.93,1278.3,1229.4,906.9,372.73,41.1,322.5,3,108,0,0,0,107,1,"07/06/1985 17:45","07/30/1985 09:40",0,NA,"67 13.2 N","2 55.8 E","ODP","BCR"
"104","643","A",67.715,1.0333,2768.7,565.2,565.2,458.29,81.08,NA,0,62,16,0,45,0,1,"08/02/1985 17:00","08/07/1985 02:05",0,NA,"67 42.9 N","1 1.998 E","ODP","BCR"
"104","644","A",66.6783,4.5767,1225.2,252.8,252.8,238.67,94.41,NA,0,34,34,0,0,0,0,"08/08/1985 15:50","08/09/1985 20:47",0,NA,"66 40.698 N","4 34.602 E","ODP","BCR"
"104","644","B",66.6783,4.5767,1224.8,127.7,127.7,103.47,81.03,NA,0,15,15,0,0,0,0,"08/10/1985 02:15","08/10/1985 13:51",0,NA,"66 40.698 N","4 34.602 E","ODP","BCR"
"105","645","A",70.4572,-64.6543,2007.1,4.9,4.9,4.94,100.82,NA,0,1,1,0,0,0,0,"09/05/1985 17:00",NA,0,NA,"70 27.432 N","64 39.258 W","ODP","BCR"
"105","645","B",70.4572,-64.6543,2008.2,298.3,298.3,171.68,57.55,NA,0,32,0,0,32,0,0,"09/07/1985 06:30","09/09/1985 22:15",0,NA,"70 27.432 N","64 39.258 W","ODP","BCR"
"105","645","C",70.4572,-64.6543,2007.7,23.3,23.3,10.89,46.74,NA,0,3,3,0,0,0,0,"09/10/1985 06:00","09/10/1985 08:30",0,NA,"70 27.432 N","64 39.258 W","ODP","BCR"
"105","645","D",70.4572,-64.6562,2007.5,190.4,190.4,106.84,56.11,NA,0,20,0,0,0,20,0,"09/12/1985 01:00","09/13/1985 11:00",0,NA,"70 27.432 N","64 39.372 W","ODP","BCR"
"105","645","E",70.458,-64.655,2008.3,1147.1,720.9,535.57,74.29,426.2,2,78,0,0,0,78,0,"09/16/1985 20:00","09/25/1985 06:45",0,NA,"70 27.48 N","64 39.3 W","ODP","BCR"
"105","645","F",70.458,-64.6548,2008.3,23,23,12.34,53.65,NA,0,3,3,0,0,0,0,"09/28/1985 05:15","09/28/1985 08:00",0,NA,"70 27.48 N","64 39.288 W","ODP","BCR"
"105","645","G",70.458,-64.6548,2007.5,16,16,8.49,53.06,NA,0,2,2,0,0,0,0,"09/28/1985 10:30","09/28/1985 11:30",0,NA,"70 27.48 N","64 39.288 W","ODP","BCR"
"105","646","A",58.2093,-48.3691,3440.3,103.5,103.5,92.14,89.02,NA,0,11,11,0,0,0,0,"10/03/1985 18:00","10/04/1985 08:00",0,NA,"58 12.558 N","48 22.146 W","ODP","BCR"
"105","646","B",58.2093,-48.3691,3440.3,766.2,766.2,404.25,52.76,NA,0,80,14,0,66,0,0,"10/04/1985 12:15","10/12/1985 08:00",0,NA,"58 12.558 N","48 22.146 W","ODP","BCR"
"105","647","A",53.3313,-45.262,3868.5,716.6,716.6,444.6,62.04,NA,0,75,0,0,0,75,0,"10/15/1985 20:00","10/22/1985 16:00",0,NA,"53 19.878 N","45 15.72 W","ODP","BCR"
"105","647","B",53.3313,-45.262,3860.2,103.3,103.3,93.17,90.19,NA,0,11,11,0,0,0,0,"10/24/1985 07:00","10/24/1985 23:15",0,NA,"53 19.878 N","45 15.72 W","ODP","BCR"
"106","648","A",22.92183,-44.94717,3299.4,4.5,4.5,0.14,3.11,NA,0,1,0,0,0,1,0,"11/09/1985 05:15",NA,0,NA,"22 55.3098 N","44 56.8302 W","ODP","BCR"
"106","648","B",22.922,-44.94708,3333.3,40.8,40.8,6.77,16.59,NA,0,6,0,0,0,6,0,"11/23/1985 22:30","12/08/1985 04:45",0,NA,"22 55.32 N","44 56.8248 W","ODP","BCR"
"106","649","A",23.36898,-44.95072,3516.9,7.5,7.5,0,0,NA,0,1,0,0,0,0,1,"12/14/1985 15:30","12/14/1985 19:50",0,NA,"23 22.1388 N","44 57.0432 W","ODP","BCR"
"106","649","B",23.36898,-44.95072,3516.9,6.5,6.5,6,92.31,NA,0,1,0,0,0,0,1,"12/14/1985 19:50","12/14/1985 23:20",0,NA,"23 22.1388 N","44 57.0432 W","ODP","BCR"
"106","649","C",23.36898,-44.95072,3518.4,3.5,3.5,0.15,4.29,NA,0,1,0,0,0,0,1,"12/14/1985 23:20","12/15/1985 10:00",0,NA,"23 22.1388 N","44 57.0432 W","ODP","BCR"
"106","649","D",23.36898,-44.95072,3517.4,6.5,6.5,0,0,NA,0,1,0,0,0,0,1,"12/15/1985 10:00","12/16/1985 08:30",0,NA,"23 22.1388 N","44 57.0432 W","ODP","BCR"
"106","649","E",23.36898,-44.95072,3519.4,8.9,8.9,0.12,1.35,NA,0,1,0,0,0,0,1,"12/16/1985 08:30","12/17/1985 03:50",0,NA,"23 22.1388 N","44 57.0432 W","ODP","BCR"
"106","649","F",23.36898,-44.95072,3514.4,13,13,0.04,0.31,NA,0,1,0,0,1,0,0,"12/17/1985 03:50","12/17/1985 20:05",0,NA,"23 22.1388 N","44 57.0432 W","ODP","BCR"
"106","649","G",23.36933,-44.9512,3517.7,9,9,0.25,2.78,NA,0,1,0,0,0,0,1,"12/17/1985 20:05","12/18/1985 06:00",0,NA,"23 22.1598 N","44 57.072 W","ODP","BCR"
"106","649","H",23.36933,-44.9512,3510.7,3,3,0.15,5,NA,0,1,0,0,0,0,1,"12/18/1985 06:00","12/18/1985 06:00",0,NA,"23 22.1598 N","44 57.072 W","ODP","BCR"
"106","649","I",23.36933,-44.9512,3510.7,3,3,0,0,NA,0,1,0,0,0,0,1,"12/18/1985 06:00","12/18/1985 06:00",0,NA,"23 22.1598 N","44 57.072 W","ODP","BCR"
"106","649","J",23.36933,-44.9512,3506.7,3,3,0,0,NA,0,1,0,0,0,0,1,"12/18/1985 06:00",NA,0,NA,"23 22.1598 N","44 57.072 W","ODP","BCR"
"107","650","A",39.3567,13.9008,3516.3,633.8,633.8,311.13,49.09,NA,0,69,13,0,56,0,0,"01/03/1986 15:20","01/09/1986 19:30",0,NA,"39 21.402 N","13 54.048 E","ODP","BCR"
"107","650","B",39.3566666666667,13.9008333333333,3516.3,NA,NA,NA,0,NA,0,0,0,0,0,0,1,NA,NA,0,NA,"39 21.4 N","13 54.05 E","ODP","BCR"
"107","651","A",40.1505,12.7565,3578,550.9,550.9,185.66,33.7,NA,0,58,0,0,0,58,0,"01/11/1986 14:30","01/16/1986 17:30",0,NA,"40 9.03 N","12 45.39 E","ODP","BCR"
"107","652","A",40.355,12.1432,3446,721.1,721.1,445.3,61.75,NA,0,75,0,0,0,75,0,"01/18/1986 19:30","01/27/1986 01:30",0,NA,"40 21.3 N","12 8.592 E","ODP","BCR"
"107","653","A",40.2643,11.4498,2817,240.7,240.7,211.29,87.78,NA,0,26,13,0,13,0,0,"01/29/1986 12:00","01/31/1986 09:30",0,NA,"40 15.858 N","11 26.988 E","ODP","BCR"
"107","653","B",40.2643,11.4492,2817,264.3,264.3,219.08,82.89,NA,0,28,8,0,20,0,0,"01/31/1986 19:30","02/02/1986 22:45",0,NA,"40 15.858 N","11 26.952 E","ODP","BCR"
"107","654","A",40.5793,10.6967,2208,473.8,473.8,239.84,50.62,NA,0,52,0,0,0,52,0,"02/03/1986 17:00","02/07/1986 22:00",0,NA,"40 34.758 N","10 41.802 E","ODP","BCR"
"107","655","A",40.1722,12.4653,3290,89.8,89.8,77.38,86.17,NA,0,12,8,0,4,0,0,"02/09/1986 11:30","02/10/1986 10:15",0,NA,"40 10.332 N","12 27.918 E","ODP","BCR"
"107","655","B",40.1887,12.4655,3290,114.9,114.9,49.32,42.92,NA,0,12,0,0,0,12,0,"02/11/1986 17:45","02/12/1986 23:00",0,NA,"40 11.322 N","12 27.93 E","ODP","BCR"
"107","656","A",40.18437,12.18383,3597,133.6,133.6,50.04,37.46,NA,0,14,0,0,0,14,0,"02/14/1986 05:00","02/15/1986 03:15",0,NA,"40 11.0622 N","12 11.0298 E","ODP","BCR"
"107","656","B",40.1848,12.1908,3597,66.3,66.3,56.39,85.05,NA,0,7,0,0,0,7,0,"02/16/1986 01:00","02/16/1986 13:30",0,NA,"40 11.088 N","12 11.448 E","ODP","BCR"
"108","657","A",21.3315,-20.9488,4232,178.2,178.2,127.57,71.59,NA,0,19,16,0,3,0,0,"02/28/1986 11:30","03/01/1986 20:12",0,NA,"21 19.89 N","20 56.928 W","ODP","BCR"
"108","657","B",21.3315,-20.9488,4232,166.1,166.1,133.54,80.4,NA,0,19,19,0,0,0,0,"03/02/1986 00:45","03/03/1986 11:00",0,NA,"21 19.89 N","20 56.928 W","ODP","BCR"
"108","658","A",20.7492,-18.5808,2263.5,300.4,300.4,294.98,98.2,NA,0,33,18,0,15,0,0,"03/04/1986 17:10","03/06/1986 13:10",0,NA,"20 44.952 N","18 34.848 W","ODP","BCR"
"108","658","B",20.7492,-18.5808,2264.2,163.8,163.8,176.14,107.53,NA,0,18,18,0,0,0,0,"03/07/1986 06:30","03/07/1986 22:15",0,NA,"20 44.952 N","18 34.848 W","ODP","BCR"
"108","658","C",20.7492,-18.5808,2262.9,72.9,72.9,70.38,96.54,NA,0,8,8,0,0,0,0,"03/08/1986 03:33","03/08/1986 10:15",0,NA,"20 44.952 N","18 34.848 W","ODP","BCR"
"108","659","A",18.0772,-21.0262,3071.2,273.8,273.8,174.95,63.9,NA,0,29,20,0,9,0,0,"03/09/1986 17:02","03/11/1986 03:40",0,NA,"18 4.632 N","21 1.572 W","ODP","BCR"
"108","659","B",18.0772,-21.0262,3073.4,202.1,202.1,163.75,81.02,NA,0,22,22,0,0,0,0,"03/11/1986 09:20","03/12/1986 07:25",0,NA,"18 4.632 N","21 1.572 W","ODP","BCR"
"108","659","C",18.0772,-21.0262,3070.5,76,76,72.48,95.37,NA,0,8,8,0,0,0,0,"03/12/1986 12:09","03/12/1986 23:50",0,NA,"18 4.632 N","21 1.572 W","ODP","BCR"
"108","660","A",10.0135,-19.2456,4332.2,164.9,164.9,163.74,99.3,NA,0,19,16,0,3,0,0,"03/15/1986 10:05","03/16/1986 11:40",0,NA,"10 .81 N","19 14.736 W","ODP","BCR"
"108","660","B",10.0135,-19.2456,4332.3,148.8,148.8,141.98,95.42,NA,0,16,14,0,2,0,0,"03/16/1986 12:38","03/17/1986 04:45",0,NA,"10 .81 N","19 14.736 W","ODP","BCR"
"108","661","A",9.4468,-19.3861,4012.7,296.1,296.1,234.93,79.34,NA,0,32,15,0,17,0,0,"03/18/1986 03:20","03/20/1986 02:25",0,NA,"9 26.808 N","19 23.166 W","ODP","BCR"
"108","661","B",9.4468,-19.3861,4013.1,81.7,81.7,81.43,99.67,NA,0,9,9,0,0,0,0,"03/20/1986 20:47","03/21/1986 04:40",0,NA,"9 26.808 N","19 23.166 W","ODP","BCR"
"108","662","A",-1.3902,-11.7392,3813.8,200,200,203.87,101.94,NA,0,22,22,0,0,0,0,"03/24/1986 13:55","03/25/1986 06:45",0,NA,"1 23.412 S","11 44.352 W","ODP","BCR"
"108","662","B",-1.3902,-11.7392,3813.8,114,114,114.83,100.73,NA,0,12,12,0,0,0,0,"03/25/1986 09:18","03/26/1986 05:45",0,NA,"1 23.412 S","11 44.352 W","ODP","BCR"
"108","663","A",-1.1978,-11.8785,3607.6,147.2,147.2,119.05,80.88,NA,0,16,16,0,0,0,0,"03/27/1986 00:30","03/27/1986 12:35",0,NA,"1 11.868 S","11 52.71 W","ODP","BCR"
"108","663","B",-1.1978,-11.8785,3607.4,152,152,153.57,101.03,NA,0,16,16,0,0,0,0,"03/27/1986 14:28","03/28/1986 03:20",0,NA,"1 11.868 S","11 52.71 W","ODP","BCR"
"108","664","A",0.1073,-23.2275,3806,9.5,9.5,9.64,101.47,NA,0,1,1,0,0,0,0,"03/30/1986 23:30",NA,0,NA,"0 6.438 N","23 13.65 W","ODP","BCR"
"108","664","B",0.1073,-23.2275,3806.3,247,247,245.02,99.2,NA,0,26,26,0,0,0,0,"03/31/1986 02:05","03/31/1986 23:09",0,NA,"0 6.438 N","23 13.65 W","ODP","BCR"
"108","664","C",0.1073,-23.2275,3806.8,61.2,61.2,57.18,93.43,NA,0,7,7,0,0,0,0,"04/01/1986 02:05","04/01/1986 07:30",0,NA,"0 6.438 N","23 13.65 W","ODP","BCR"
"108","664","D",0.1073,-23.2275,3801.7,296.8,296.8,302.85,102.04,NA,0,32,32,0,0,0,0,"04/01/1986 10:30","04/02/1986 10:40",0,NA,"0 6.438 N","23 13.65 W","ODP","BCR"
"108","665","A",2.9512,-19.6678,4740.4,97.9,97.9,99.97,102.11,NA,0,11,11,0,0,0,0,"04/04/1986 07:20","04/04/1986 18:07",0,NA,"2 57.072 N","19 40.068 W","ODP","BCR"
"108","665","B",2.9512,-19.6678,4741.8,82,82,72.48,88.39,NA,0,9,9,0,0,0,0,"04/04/1986 20:40","04/05/1986 08:15",0,NA,"2 57.072 N","19 40.068 W","ODP","BCR"
"108","666","A",3.4973,-20.1672,4516.8,150.5,150.5,150.49,99.99,NA,0,16,16,0,0,0,0,"04/06/1986 18:47","04/07/1986 13:04",0,NA,"3 29.838 N","20 10.032 W","ODP","BCR"
"108","667","A",4.5692,-21.9113,3525,381.3,381.3,309.16,81.08,NA,0,41,23,0,18,0,0,"04/08/1986 20:03","04/11/1986 23:05",0,NA,"4 34.152 N","21 54.678 W","ODP","BCR"
"108","667","B",4.5692,-21.9113,3524.7,139.6,139.6,128.56,92.09,NA,0,15,15,0,0,0,0,"04/12/1986 11:45","04/13/1986 00:20",0,NA,"4 34.152 N","21 54.678 W","ODP","BCR"
"108","668","A",4.7687,-20.927,2690,8.8,8.8,8.79,99.89,NA,0,1,1,0,0,0,0,"04/14/1986 14:30",NA,0,NA,"4 46.122 N","20 55.62 W","ODP","BCR"
"108","668","B",4.7687,-20.927,2693.1,31.2,31.2,31.21,100.03,NA,0,4,4,0,0,0,0,"04/14/1986 20:00","04/14/1986 22:25",0,NA,"4 46.122 N","20 55.62 W","ODP","BCR"
"109","395","A",22.7558333333333,-46.0816666666667,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,"22 45.35 N","46 4.9 W","ODP","BCR"
