Leg,Site,Hole,Latitude,Longitude,Latitude (decimal degrees),Longitude (decimal degrees),Water Depth (mbsl),Number of Cores,Interval Cored (m),Core Recovered (m),% Recovered,Drilled (m),Penetration (m),Comment
108,658,C,20° 44.952'N,18° 34.848'W,20.7492,-18.5808,2262.9,8,72.9,70.4,96.5,0,72.9,
108,659,A,18°  4.632'N,21°  1.572'W,18.0772,-21.0262,3071.2,29,273.8,174.9,63.9,0,273.8,
108,659,B,18°  4.632'N,21°  1.572'W,18.0772,-21.0262,3073.4,22,202.1,163.8,81,0,202.1,
108,659,C,18°  4.632'N,21°  1.572'W,18.0772,-21.0262,3070.5,8,76,72.5,95.4,0,196,
108,660,A,10°  0.810'N,19° 14.736'W,10.0135,-19.2456,4332.2,19,164.9,163.7,99.3,0,164.9,
108,660,B,10°  0.810'N,19° 14.736'W,10.0135,-19.2456,4332.3,16,148.8,142,95.4,0,148.8,
108,661,A,9° 26.808'N,19° 23.166'W,9.4468,-19.3861,4012.7,32,296.1,234.9,79.3,0,296.1,
108,661,B,9° 26.808'N,19° 23.166'W,9.4468,-19.3861,4013.1,9,81.7,81.4,99.7,0,81.7,
108,662,A,1° 23.412'S,11° 44.352'W,-1.3902,-11.7392,3813.8,22,200,203.9,101.9,0,200,
108,662,B,1° 23.412'S,11° 44.352'W,-1.3902,-11.7392,3813.8,12,114,114.8,100.7,0,188.2,
108,663,A,1° 11.868'S,11° 52.710'W,-1.1978,-11.8785,3607.6,16,147.2,119.1,80.9,0,147.2,
108,663,B,1° 11.868'S,11° 52.710'W,-1.1978,-11.8785,3607.4,16,152,153.6,101,0,152,
108,664,A,0°  6.438'N,23° 13.650'W,0.1073,-23.2275,3806,1,9.5,9.6,101.5,0,28.9,
108,664,B,0°  6.438'N,23° 13.650'W,0.1073,-23.2275,3806.3,26,247,245,99.2,0,247,
108,664,C,0°  6.438'N,23° 13.650'W,0.1073,-23.2275,3806.8,7,61.2,57.2,93.4,0,61.2,
108,664,D,0°  6.438'N,23° 13.650'W,0.1073,-23.2275,3801.7,32,296.8,302.9,102,0,296.8,
108,665,A,2° 57.072'N,19° 40.068'W,2.9512,-19.6678,4740.4,11,97.9,100,102.1,0,97.9,
108,665,B,2° 57.072'N,19° 40.068'W,2.9512,-19.6678,4741.8,9,82,72.5,88.4,0,82,
108,666,A,3° 29.838'N,20° 10.032'W,3.4973,-20.1672,4516.8,16,150.5,150.5,100,0,150.5,
108,667,A,4° 34.152'N,21° 54.678'W,4.5692,-21.9113,3525,41,381.3,309.2,81.1,0,381.3,
108,667,B,4° 34.152'N,21° 54.678'W,4.5692,-21.9113,3524.7,15,139.6,128.6,92.1,0,139.6,
108,668,A,4° 46.122'N,20° 55.620'W,4.7687,-20.927,2690,1,8.8,8.8,99.9,0,8.8,
108,668,B,4° 46.122'N,20° 55.620'W,4.7687,-20.927,2693.1,4,31.2,31.2,100,0,31.2,
109,395,C,22° 45.500'N,46°  4.900'W,22.7583333,-46.0816667,4490.2,0,0,0,,0,84,
109,648,B,22° 55.320'N,44° 56.825'W,22.922,-44.9470833,3329.9,14,105.5,17.6,16.7,0,50.5,
109,669,A,23° 31.020'N,45°  2.748'W,23.517,-45.0458,1979,1,4,0.1,2.5,0,4,
109,670,A,23°  9.996'N,45°  1.932'W,23.1666,-45.0322,3625,7,76.6,4.6,6,0,92.5,
110,671,A,15° 31.548'N,58° 43.950'W,15.5258,-58.7325,4931.1,1,5,5,100.4,0,5,
110,671,B,15° 31.548'N,58° 43.950'W,15.5258,-58.7325,4931.7,74,691.2,553.1,80,0,691.2,
110,671,C,15° 31.680'N,58° 43.968'W,15.528,-58.7328,4936.5,2,19,16.7,87.7,0,514.7,
110,671,D,15° 31.482'N,58° 43.878'W,15.5247,-58.7313,4942.5,1,9,0,0,0,461,
110,672,A,15° 32.400'N,58° 38.460'W,15.54,-58.641,4982.5,53,493.8,382.6,77.5,0,493.8,
110,673,A,15° 31.902'N,58° 48.600'W,15.5317,-58.81,4667.4,4,36.4,33.3,91.6,0,36.4,
110,673,B,15° 31.920'N,58° 38.490'W,15.532,-58.6415,4678.7,35,330.6,247.1,74.7,0,330.6,
110,674,A,15° 32.292'N,58° 51.090'W,15.5382,-58.8515,4550.2,48,452.6,354.6,78.3,0,452.6,
110,675,A,15° 31.770'N,58° 43.008'W,15.5295,-58.7168,5007.8,8,66.7,44.7,67.1,0,388.1,
110,676,A,15° 31.848'N,58° 42.198'W,15.5308,-58.7033,5059.6,33,310.2,262.1,84.5,0,310.2,
111,504,B,1° 13.611'N,83° 43.818'W,1.22685,-83.7303,3460,29,209,27.4,13.1,0,1562.1,
111,677,A,1° 12.138'N,83° 44.220'W,1.2023,-83.737,3472,34,309.4,279.4,90.3,0,309.4,
111,677,B,1° 12.144'N,83° 44.220'W,1.2024,-83.737,3473,10,93.1,93,99.9,0,93.1,
111,678,A,1° 13.008'N,83° 43.392'W,1.2168,-83.7232,3464,1,0.6,0.5,90,0,0.6,
111,678,B,1° 13.008'N,83° 43.392'W,1.2168,-83.7232,3465,4,28.8,27.7,96.2,0,171.8,
112,679,A,11°  3.520'S,78° 15.918'W,-11.0586667,-78.2653,434,1,7,7,100,0,7,
112,679,B,11°  3.800'S,78° 16.340'W,-11.0633333,-78.2723333,458,13,107.2,103,96.1,0,107.2,
112,679,C,11°  3.810'S,78° 16.330'W,-11.0635,-78.2721667,458,8,75.5,69.8,92.4,0,75.5,
112,679,D,11°  3.830'S,78° 16.330'W,-11.0638333,-78.2721667,462,27,245.2,116,47.3,0,245.4,
112,679,E,11°  3.780'S,78° 16.340'W,-11.063,-78.2723333,462,13,114,36.3,31.8,0,359.3,
112,680,A,11°  3.900'S,78°  4.670'W,-11.065,-78.0778333,272,10,93.8,81.2,86.6,0,93.8,
112,680,B,11°  3.900'S,78°  4.670'W,-11.065,-78.0778333,273,22,195.5,98.4,50.4,0,195.5,
112,680,C,11°  3.900'S,78°  4.670'W,-11.065,-78.0778333,272,4,34.3,35,102.2,0,34.3,
112,681,A,10° 58.600'S,77° 57.460'W,-10.9766667,-77.9576667,161,20,187,112.4,60.1,0,187,
112,681,B,10° 58.600'S,77° 57.460'W,-10.9766667,-77.9576667,162,16,143.5,97.3,67.8,0,143.5,
112,681,C,10° 58.600'S,77° 57.460'W,-10.9766667,-77.9576667,162,10,91.4,86.2,94.4,0,91.4,
112,682,A,11° 15.990'S,79°  3.730'W,-11.2665,-79.0621667,3801,48,436.7,127,29.1,0,436.7,
112,683,A,9°  1.690'S,80° 24.400'W,-9.0281667,-80.4066667,3087,45,419.2,217.7,51.9,0,419.2,
112,683,B,9°  1.590'S,80° 24.260'W,-9.0265,-80.4043333,3077,9,85.5,30.7,35.9,0,488,
112,684,A,8° 59.490'S,79° 57.350'W,-8.9915,-79.9558333,438,15,136.1,72.5,53.3,0,136.1,
112,684,B,8° 59.490'S,79° 57.350'W,-8.9915,-79.9558333,439,6,55,37.2,67.6,0,55,
112,684,C,8° 59.490'S,79° 57.350'W,-8.9915,-79.9558333,438,13,115,56.2,48.9,0,115,
112,685,A,9°  6.780'S,80° 35.010'W,-9.113,-80.5835,5093,51,468.6,278.6,59.5,0,468.6,
112,686,A,13° 28.810'S,76° 53.490'W,-13.4801667,-76.8915,454,23,205.7,181.7,88.3,0,205.7,
112,686,B,13° 28.810'S,76° 53.490'W,-13.4801667,-76.8915,458,32,303,225.5,74.4,0,303,
112,687,A,12° 51.780'S,76° 59.430'W,-12.863,-76.9905,316,22,207,108.3,52.3,0,207,
112,687,B,12° 51.780'S,76° 59.430'W,-12.863,-76.9905,316,22,195.3,87.4,44.8,0,195.3,
112,688,A,11° 32.260'S,78° 56.570'W,-11.5376667,-78.9428333,3827,37,350.3,245.3,70,0,350.3,
112,688,B,11° 32.260'S,78° 56.570'W,-11.5376667,-78.9428333,3830,1,9.5,0,0,0,359.5,
112,688,C,11° 32.260'S,78° 56.570'W,-11.5376667,-78.9428333,3829,1,9.5,1.2,12.5,0,359.8,
112,688,D,11° 32.260'S,78° 56.570'W,-11.5376667,-78.9428333,3836,0,0,0,,0,345,
112,688,E,11° 32.280'S,78° 56.650'W,-11.538,-78.9441667,3827,46,429,152,35.4,0,779,
113,689,A,64° 31.020'S,3°  5.994'E,-64.517,3.0999,2080,1,9.5,9.4,98.4,0,11.8,
113,689,B,64° 31.020'S,3°  5.994'E,-64.517,3.0999,2080,33,297.3,229.4,77.2,0,297.3,
113,689,C,64° 31.020'S,3°  6.024'E,-64.517,3.1004,2080.3,3,27.6,20.5,74.4,0,27.6,
113,689,D,64° 31.020'S,3°  6.024'E,-64.517,3.1004,2080.3,12,115.7,116,100.2,0,133.8,
113,690,A,65°  9.629'S,1° 12.296'E,-65.1604833,1.2049333,2914,1,7.7,9.9,128.1,0,7.7,
113,690,B,65°  9.629'S,1° 12.296'E,-65.1604833,1.2049333,2914,25,213.4,214.7,100.6,0,213.4,
113,690,C,65°  9.621'S,1° 12.285'E,-65.16035,1.20475,2914,23,200.6,177.2,88.3,0,321.2,
113,691,A,70° 44.520'S,13° 48.660'W,-70.742,-13.811,3035,1,0.1,0.1,50,0,0.1,
113,691,B,70° 44.640'S,13° 48.558'W,-70.744,-13.8093,2038,1,1.7,0,0,0,1.7,
