length_cm,sed_WRND,sed_SHLF,sed_QRND,rcb_WRND,rcb_SHLF,rcb_QRND,sed_CUBE,rcb_CUBE,sed_WDGE,rcb_WDGE,sed_CYL,rcb_CYL
75,2644,1322,661,2009.25,1004.625,502.3125,7,7,10,10,10,10
76,2679,1339.5,669.75,2036.04,1018.02,509.01,7,7,10,10,10,10
77,2714,1357,678.5,2062.83,1031.415,515.7075,7,7,10,10,10,10
78,2750,1375,687.5,2089.62,1044.81,522.405,7,7,10,10,10,10
79,2785,1392.5,696.25,2116.41,1058.205,529.1025,7,7,10,10,10,10
80,2820,1410,705,2143.2,1071.6,535.8,7,7,10,10,10,10
81,2855,1427.5,713.75,2169.99,1084.995,542.4975,7,7,10,10,10,10
82,2891,1445.5,722.75,2196.78,1098.39,549.195,7,7,10,10,10,10
83,2926,1463,731.5,2223.57,1111.785,555.8925,7,7,10,10,10,10
84,2961,1480.5,740.25,2250.36,1125.18,562.59,7,7,10,10,10,10
85,2996,1498,749,2277.15,1138.575,569.2875,7,7,10,10,10,10
86,3032,1516,758,2303.94,1151.97,575.985,7,7,10,10,10,10
87,3067,1533.5,766.75,2330.73,1165.365,582.6825,7,7,10,10,10,10
88,3102,1551,775.5,2357.52,1178.76,589.38,7,7,10,10,10,10
89,3137,1568.5,784.25,2384.31,1192.155,596.0775,7,7,10,10,10,10
90,3173,1586.5,793.25,2411.1,1205.55,602.775,7,7,10,10,10,10
91,3208,1604,802,2437.89,1218.945,609.4725,7,7,10,10,10,10
92,3243,1621.5,810.75,2464.68,1232.34,616.17,7,7,10,10,10,10
93,3278,1639,819.5,2491.47,1245.735,622.8675,7,7,10,10,10,10
94,3314,1657,828.5,2518.26,1259.13,629.565,7,7,10,10,10,10
95,3349,1674.5,837.25,2545.05,1272.525,636.2625,7,7,10,10,10,10
96,3384,1692,846,2571.84,1285.92,642.96,7,7,10,10,10,10
97,3419,1709.5,854.75,2598.63,1299.315,649.6575,7,7,10,10,10,10
98,3455,1727.5,863.75,2625.42,1312.71,656.355,7,7,10,10,10,10
99,3490,1745,872.5,2652.21,1326.105,663.0525,7,7,10,10,10,10
100,3525,1762.5,881.25,2679,1339.5,669.75,7,7,10,10,10,10
101,3560,1780,890,2705.79,1352.895,676.4475,7,7,10,10,10,10
102,3596,1798,899,2732.58,1366.29,683.145,7,7,10,10,10,10
103,3631,1815.5,907.75,2759.37,1379.685,689.8425,7,7,10,10,10,10
104,3666,1833,916.5,2786.16,1393.08,696.54,7,7,10,10,10,10
105,3701,1850.5,925.25,2812.95,1406.475,703.2375,7,7,10,10,10,10
106,3737,1868.5,934.25,2839.74,1419.87,709.935,7,7,10,10,10,10
107,3772,1886,943,2866.53,1433.265,716.6325,7,7,10,10,10,10
108,3807,1903.5,951.75,2893.32,1446.66,723.33,7,7,10,10,10,10
109,3842,1921,960.5,2920.11,1460.055,730.0275,7,7,10,10,10,10
110,3878,1939,969.5,2946.9,1473.45,736.725,7,7,10,10,10,10
111,3913,1956.5,978.25,2973.69,1486.845,743.4225,7,7,10,10,10,10
112,3948,1974,987,3000.48,1500.24,750.12,7,7,10,10,10,10
113,3983,1991.5,995.75,3027.27,1513.635,756.8175,7,7,10,10,10,10
114,4019,2009.5,1004.75,3054.06,1527.03,763.515,7,7,10,10,10,10
115,4054,2027,1013.5,3080.85,1540.425,770.2125,7,7,10,10,10,10
116,4089,2044.5,1022.25,3107.64,1553.82,776.91,7,7,10,10,10,10
117,4124,2062,1031,3134.43,1567.215,783.6075,7,7,10,10,10,10
118,4160,2080,1040,3161.22,1580.61,790.305,7,7,10,10,10,10
119,4195,2097.5,1048.75,3188.01,1594.005,797.0025,7,7,10,10,10,10
120,4230,2115,1057.5,3214.8,1607.4,803.7,7,7,10,10,10,10
121,4265,2132.5,1066.25,3241.59,1620.795,810.3975,7,7,10,10,10,10
122,4301,2150.5,1075.25,3268.38,1634.19,817.095,7,7,10,10,10,10
123,4336,2168,1084,3295.17,1647.585,823.7925,7,7,10,10,10,10
124,4371,2185.5,1092.75,3321.96,1660.98,830.49,7,7,10,10,10,10
125,4406,2203,1101.5,3348.75,1674.375,837.1875,7,7,10,10,10,10
126,4442,2221,1110.5,3375.54,1687.77,843.885,7,7,10,10,10,10
127,4477,2238.5,1119.25,3402.33,1701.165,850.5825,7,7,10,10,10,10
128,4512,2256,1128,3429.12,1714.56,857.28,7,7,10,10,10,10
129,4547,2273.5,1136.75,3455.91,1727.955,863.9775,7,7,10,10,10,10
130,4583,2291.5,1145.75,3482.7,1741.35,870.675,7,7,10,10,10,10
131,4618,2309,1154.5,3509.49,1754.745,877.3725,7,7,10,10,10,10
132,4653,2326.5,1163.25,3536.28,1768.14,884.07,7,7,10,10,10,10
133,4688,2344,1172,3563.07,1781.535,890.7675,7,7,10,10,10,10
134,4724,2362,1181,3589.86,1794.93,897.465,7,7,10,10,10,10
135,4759,2379.5,1189.75,3616.65,1808.325,904.1625,7,7,10,10,10,10
136,4794,2397,1198.5,3643.44,1821.72,910.86,7,7,10,10,10,10
137,4829,2414.5,1207.25,3670.23,1835.115,917.5575,7,7,10,10,10,10
138,4865,2432.5,1216.25,3697.02,1848.51,924.255,7,7,10,10,10,10
139,4900,2450,1225,3723.81,1861.905,930.9525,7,7,10,10,10,10
140,4935,2467.5,1233.75,3750.6,1875.3,937.65,7,7,10,10,10,10
141,4970,2485,1242.5,3777.39,1888.695,944.3475,7,7,10,10,10,10
