"leg_exp","site","variable","value","other","Pleistocene","Pliocene","Miocene","Oligocene","Eocene","Paleocene","Cretaceous","sort_old","crunch_old","all_ages2","Latitude_DD","Longitude_DD","program","repository"
"10","95","Oligocene","Oligocene",NA,"Pleistocene",NA,NA,"Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Oligocene, Eocene, Paleocene, Cretaceous",24.15,-86.3975,"DSDP","GCR"
"10","95","Paleocene","Paleocene",NA,"Pleistocene",NA,NA,"Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Oligocene, Eocene, Paleocene, Cretaceous",24.15,-86.3975,"DSDP","GCR"
"10","96","Paleocene","Paleocene",NA,"Pleistocene",NA,NA,"Oligocene","Eocene","Paleocene",NA,NA,NA,"Pleistocene, Oligocene, Eocene, Paleocene",23.7427,-85.7633,"DSDP","GCR"
"10","96","Oligocene","Oligocene",NA,"Pleistocene",NA,NA,"Oligocene","Eocene","Paleocene",NA,NA,NA,"Pleistocene, Oligocene, Eocene, Paleocene",23.7427,-85.7633,"DSDP","GCR"
"10","96","Pleistocene","Pleistocene",NA,"Pleistocene",NA,NA,"Oligocene","Eocene","Paleocene",NA,NA,NA,"Pleistocene, Oligocene, Eocene, Paleocene",23.7427,-85.7633,"DSDP","GCR"
"10","96","Eocene","Eocene",NA,"Pleistocene",NA,NA,"Oligocene","Eocene","Paleocene",NA,NA,NA,"Pleistocene, Oligocene, Eocene, Paleocene",23.7427,-85.7633,"DSDP","GCR"
"10","97","Pleistocene","Pleistocene",NA,"Pleistocene",NA,"Miocene","Oligocene","Eocene",NA,"Cretaceous",NA,NA,"Pleistocene, Miocene, Oligocene, Eocene, Cretaceous",23.8842,-84.4457,"DSDP","GCR"
"10","97","Eocene","Eocene",NA,"Pleistocene",NA,"Miocene","Oligocene","Eocene",NA,"Cretaceous",NA,NA,"Pleistocene, Miocene, Oligocene, Eocene, Cretaceous",23.8842,-84.4457,"DSDP","GCR"
"10","97","Miocene","Miocene",NA,"Pleistocene",NA,"Miocene","Oligocene","Eocene",NA,"Cretaceous",NA,NA,"Pleistocene, Miocene, Oligocene, Eocene, Cretaceous",23.8842,-84.4457,"DSDP","GCR"
"10","97","Cretaceous","Cretaceous",NA,"Pleistocene",NA,"Miocene","Oligocene","Eocene",NA,"Cretaceous",NA,NA,"Pleistocene, Miocene, Oligocene, Eocene, Cretaceous",23.8842,-84.4457,"DSDP","GCR"
"10","97","Oligocene","Oligocene",NA,"Pleistocene",NA,"Miocene","Oligocene","Eocene",NA,"Cretaceous",NA,NA,"Pleistocene, Miocene, Oligocene, Eocene, Cretaceous",23.8842,-84.4457,"DSDP","GCR"
"100","625","other","NO DATA","NO DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",28.8316666666667,-87.16,"ODP","GCR"
"101","626","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene",NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene",25.6006216666667,-79.5467666666667,"ODP","BCR"
"101","626","Oligocene","Oligocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene",NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene",25.6006216666667,-79.5467666666667,"ODP","BCR"
"101","626","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene",NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene",25.6006216666667,-79.5467666666667,"ODP","BCR"
"101","626","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene",NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene",25.6006216666667,-79.5467666666667,"ODP","BCR"
"101","627","Pliocene","Pliocene",NA,NA,"Pliocene","Miocene",NA,NA,"Paleocene","Cretaceous",NA,NA,"Pliocene, Miocene, Paleocene, Cretaceous",27.635,-78.2942,"ODP","BCR"
"101","627","Paleocene","Paleocene",NA,NA,"Pliocene","Miocene",NA,NA,"Paleocene","Cretaceous",NA,NA,"Pliocene, Miocene, Paleocene, Cretaceous",27.635,-78.2942,"ODP","BCR"
"101","627","Miocene","Miocene",NA,NA,"Pliocene","Miocene",NA,NA,"Paleocene","Cretaceous",NA,NA,"Pliocene, Miocene, Paleocene, Cretaceous",27.635,-78.2942,"ODP","BCR"
"101","627","Cretaceous","Cretaceous",NA,NA,"Pliocene","Miocene",NA,NA,"Paleocene","Cretaceous",NA,NA,"Pliocene, Miocene, Paleocene, Cretaceous",27.635,-78.2942,"ODP","BCR"
"101","628","Oligocene","Oligocene",NA,NA,"Pliocene","Miocene","Oligocene","Eocene",NA,NA,NA,NA,"Pliocene, Miocene, Oligocene, Eocene",27.5308,-78.3158,"ODP","BCR"
"101","628","Eocene","Eocene",NA,NA,"Pliocene","Miocene","Oligocene","Eocene",NA,NA,NA,NA,"Pliocene, Miocene, Oligocene, Eocene",27.5308,-78.3158,"ODP","BCR"
"101","628","Pliocene","Pliocene",NA,NA,"Pliocene","Miocene","Oligocene","Eocene",NA,NA,NA,NA,"Pliocene, Miocene, Oligocene, Eocene",27.5308,-78.3158,"ODP","BCR"
"101","628","Miocene","Miocene",NA,NA,"Pliocene","Miocene","Oligocene","Eocene",NA,NA,NA,NA,"Pliocene, Miocene, Oligocene, Eocene",27.5308,-78.3158,"ODP","BCR"
"101","629","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",27.4065,-78.3683,"ODP","BCR"
"101","629","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",27.4065,-78.3683,"ODP","BCR"
"101","629","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",27.4065,-78.3683,"ODP","BCR"
"101","630","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",27.449,-78.3405,"ODP","BCR"
"101","630","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",27.449,-78.3405,"ODP","BCR"
"101","630","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",27.449,-78.3405,"ODP","BCR"
"101","631","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.5867,-75.7427,"ODP","BCR"
"101","631","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.5867,-75.7427,"ODP","BCR"
"101","631","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.5867,-75.7427,"ODP","BCR"
"101","632","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.8407,-75.4355,"ODP","BCR"
"101","632","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.8407,-75.4355,"ODP","BCR"
"101","632","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.8407,-75.4355,"ODP","BCR"
"101","633","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.6885,-75.6235,"ODP","BCR"
"101","633","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.6885,-75.6235,"ODP","BCR"
"101","633","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.6885,-75.6235,"ODP","BCR"
"101","634","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene",NA,NA,"Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Eocene, Paleocene, Cretaceous",25.3837,-77.3147,"ODP","BCR"
"101","634","Paleocene","Paleocene",NA,"Pleistocene","Pliocene",NA,NA,"Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Eocene, Paleocene, Cretaceous",25.3837,-77.3147,"ODP","BCR"
"101","634","Eocene","Eocene",NA,"Pleistocene","Pliocene",NA,NA,"Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Eocene, Paleocene, Cretaceous",25.3837,-77.3147,"ODP","BCR"
"101","634","Cretaceous","Cretaceous",NA,"Pleistocene","Pliocene",NA,NA,"Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Eocene, Paleocene, Cretaceous",25.3837,-77.3147,"ODP","BCR"
"101","634","Pliocene","Pliocene",NA,"Pleistocene","Pliocene",NA,NA,"Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Eocene, Paleocene, Cretaceous",25.3837,-77.3147,"ODP","BCR"
"101","635","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Cretaceous",25.4188,-77.332,"ODP","BCR"
"101","635","Pliocene","Pliocene",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Cretaceous",25.4188,-77.332,"ODP","BCR"
"101","635","Cretaceous","Cretaceous",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Cretaceous",25.4188,-77.332,"ODP","BCR"
"101","636","Pliocene","Pliocene",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene",25.4185,-77.3058,"ODP","BCR"
"101","636","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene",25.4185,-77.3058,"ODP","BCR"
"103","637","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",42.0883,-12.8633,"ODP","BCR"
"103","637","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",42.0883,-12.8633,"ODP","BCR"
"103","637","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",42.0883,-12.8633,"ODP","BCR"
"103","638","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Miocene, Cretaceous",42.1533,-12.1967,"ODP","BCR"
"103","638","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Miocene, Cretaceous",42.1533,-12.1967,"ODP","BCR"
"103","638","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Miocene, Cretaceous",42.1533,-12.1967,"ODP","BCR"
"103","638","Cretaceous","Cretaceous",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Miocene, Cretaceous",42.1533,-12.1967,"ODP","BCR"
"103","639","Cretaceous","Cretaceous",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Cretaceous",42.1433,-12.2583,"ODP","BCR"
"103","639","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Cretaceous",42.1433,-12.2583,"ODP","BCR"
"103","639","Pliocene","Pliocene",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Cretaceous",42.1433,-12.2583,"ODP","BCR"
"103","640","Cretaceous","Cretaceous",NA,NA,NA,NA,NA,NA,NA,"Cretaceous",NA,NA,"Cretaceous",42.0167,-12.4633,"ODP","BCR"
"103","641","Cretaceous","Cretaceous",NA,"Pleistocene",NA,NA,NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Cretaceous",42.155,-12.1817,"ODP","BCR"
"103","641","Pleistocene","Pleistocene",NA,"Pleistocene",NA,NA,NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Cretaceous",42.155,-12.1817,"ODP","BCR"
"104","642","Eocene","Eocene",NA,"Pleistocene","Pliocene","Miocene",NA,"Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Eocene",67.22,2.93,"ODP","BCR"
"104","642","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,"Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Eocene",67.22,2.93,"ODP","BCR"
"104","642","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,"Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Eocene",67.22,2.93,"ODP","BCR"
"104","642","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,"Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Eocene",67.22,2.93,"ODP","BCR"
"104","643","Oligocene","Oligocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene",67.715,1.0333,"ODP","BCR"
"104","643","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene",67.715,1.0333,"ODP","BCR"
"104","643","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene",67.715,1.0333,"ODP","BCR"
"104","643","Eocene","Eocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene",67.715,1.0333,"ODP","BCR"
"104","643","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene",67.715,1.0333,"ODP","BCR"
"104","644","Pliocene","Pliocene",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene",66.6783,4.5767,"ODP","BCR"
"104","644","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene",66.6783,4.5767,"ODP","BCR"
"105","645","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",70.4572,-64.6543,"ODP","BCR"
"105","645","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",70.4572,-64.6543,"ODP","BCR"
"105","645","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",70.4572,-64.6543,"ODP","BCR"
"105","646","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",58.2093,-48.3691,"ODP","BCR"
"105","646","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",58.2093,-48.3691,"ODP","BCR"
