"Title","Keywords","Creator","Notes","Duration","Special","YouTube.Link","YouTube.Channel","Exp.or.Group"
"Kevin Grigar: What is an operations superintendent?","Labs",NA,NA,"00:02:42",NA,"https://www.youtube.com/watch?v=whJtLm8kCDY","The JOIDES Resolution","General"
"Lab Coats and Hardhats: the People Behind the Expeditions in Scientific Ocean Drilling","Drilling/Rigfloor",NA,NA,"00:03:41",NA,"https://www.youtube.com/watch?v=5Os_pthIFic","The JOIDES Resolution","General"
"Lab Coats and Hardhats: the People Behind the Expeditions in Scientific Ocean Drilling","Steel Beach",NA,NA,"00:03:41",NA,"https://www.youtube.com/watch?v=5Os_pthIFic","The JOIDES Resolution","General"
"Lab Coats and Hardhats: the People Behind the Expeditions in Scientific Ocean Drilling","Catwalk",NA,NA,"00:03:41",NA,"https://www.youtube.com/watch?v=5Os_pthIFic","The JOIDES Resolution","General"
"Lab Coats and Hardhats: the People Behind the Expeditions in Scientific Ocean Drilling","Interviews/Career Paths",NA,NA,"00:03:41",NA,"https://www.youtube.com/watch?v=5Os_pthIFic","The JOIDES Resolution","General"
"Lab Coats and Hardhats: the People Behind the Expeditions in Scientific Ocean Drilling","Derrick",NA,NA,"00:03:41",NA,"https://www.youtube.com/watch?v=5Os_pthIFic","The JOIDES Resolution","General"
"Lab Coats and Hardhats: the People Behind the Expeditions in Scientific Ocean Drilling","Ocean",NA,NA,"00:03:41",NA,"https://www.youtube.com/watch?v=5Os_pthIFic","The JOIDES Resolution","General"
"Lab Coats and Hardhats: the People Behind the Expeditions in Scientific Ocean Drilling","Labs",NA,NA,"00:03:41",NA,"https://www.youtube.com/watch?v=5Os_pthIFic","The JOIDES Resolution","General"
"Lab Coats and Hardhats: the People Behind the Expeditions in Scientific Ocean Drilling","Helipad",NA,NA,"00:03:41",NA,"https://www.youtube.com/watch?v=5Os_pthIFic","The JOIDES Resolution","General"
"Lab Coats and Hardhats: the People Behind the Expeditions in Scientific Ocean Drilling","Life Boats",NA,NA,"00:03:41",NA,"https://www.youtube.com/watch?v=5Os_pthIFic","The JOIDES Resolution","General"
"Lab Profile Micropaleontology","Derrick",NA,NA,"00:03:31",NA,"https://www.youtube.com/watch?v=9NfWaCpdQfc","The JOIDES Resolution","374"
"Lab Profile Micropaleontology","Catwalk",NA,NA,"00:03:31",NA,"https://www.youtube.com/watch?v=9NfWaCpdQfc","The JOIDES Resolution","374"
"Lab Profile Micropaleontology","Interviews/Career Paths",NA,NA,"00:03:31",NA,"https://www.youtube.com/watch?v=9NfWaCpdQfc","The JOIDES Resolution","374"
"Lab Profile Micropaleontology","Science",NA,NA,"00:03:31",NA,"https://www.youtube.com/watch?v=9NfWaCpdQfc","The JOIDES Resolution","374"
"Lab Profile Micropaleontology","Labs",NA,NA,"00:03:31",NA,"https://www.youtube.com/watch?v=9NfWaCpdQfc","The JOIDES Resolution","374"
"Lab Profile Micropaleontology","Ocean",NA,NA,"00:03:31",NA,"https://www.youtube.com/watch?v=9NfWaCpdQfc","The JOIDES Resolution","374"
"Lachit Singh Ningthoujam Interview","Thrusters/DP","Amanda Wolfe",NA,"00:05:28",NA,"unavailable - contact JRSO/USSSP","NA","368"
"Lachit Singh Ningthoujam Interview","Ocean","Amanda Wolfe",NA,"00:05:28",NA,"unavailable - contact JRSO/USSSP","NA","368"
"Lachit Singh Ningthoujam Interview","Interviews/Career Paths","Amanda Wolfe",NA,"00:05:28",NA,"unavailable - contact JRSO/USSSP","NA","368"
"Lachit Singh Ningthoujam Interview","Labs","Amanda Wolfe",NA,"00:05:28",NA,"unavailable - contact JRSO/USSSP","NA","368"
"Lachit Singh Ningthoujam Interview","Science","Amanda Wolfe",NA,"00:05:28",NA,"unavailable - contact JRSO/USSSP","NA","368"
"Last Core on Deck-Expedition 371 Tasman Sea Frontier","Labs","Adam Kurtz",NA,"00:02:14",NA,"https://www.youtube.com/watch?v=cTx_N7Wq9Bs","The JOIDES Resolution","371"
"Last Core on Deck-Expedition 371 Tasman Sea Frontier","Derrick","Adam Kurtz",NA,"00:02:14",NA,"https://www.youtube.com/watch?v=cTx_N7Wq9Bs","The JOIDES Resolution","371"
"Last Core on Deck-Expedition 371 Tasman Sea Frontier","Core Splitting","Adam Kurtz",NA,"00:02:14",NA,"https://www.youtube.com/watch?v=cTx_N7Wq9Bs","The JOIDES Resolution","371"
"Last Core on Deck-Expedition 371 Tasman Sea Frontier","Catwalk","Adam Kurtz",NA,"00:02:14",NA,"https://www.youtube.com/watch?v=cTx_N7Wq9Bs","The JOIDES Resolution","371"
"Last Core on Deck-Expedition 371 Tasman Sea Frontier","Drilling/Rigfloor","Adam Kurtz",NA,"00:02:14",NA,"https://www.youtube.com/watch?v=cTx_N7Wq9Bs","The JOIDES Resolution","371"
