"Title","Keywords","Creator","Notes","Duration","Special","YouTube.Link","YouTube.Channel","Exp.or.Group"
"JOIDES Resolution Navigating the Southern Ocean","Thrusters/DP",NA,NA,"00:00:49",NA,"https://www.youtube.com/watch?v=rzgDthftoFI","Columbia Climate School","383"
"JOIDES Resolution sails again 25 Jan 2009","Gangway/Pier","Beck/Fulton?",NA,"00:02:24",NA,"https://www.youtube.com/watch?v=RI1hboERm-k","OceanLeadership","320T"
"JOIDES Resolution sails again 25 Jan 2009","Steel Beach","Beck/Fulton?",NA,"00:02:24",NA,"https://www.youtube.com/watch?v=RI1hboERm-k","OceanLeadership","320T"
"JOIDES Resolution sails again 25 Jan 2009","Life at Sea","Beck/Fulton?",NA,"00:02:24",NA,"https://www.youtube.com/watch?v=RI1hboERm-k","OceanLeadership","320T"
"JOIDES Resolution sails again 25 Jan 2009","Ocean","Beck/Fulton?",NA,"00:02:24",NA,"https://www.youtube.com/watch?v=RI1hboERm-k","OceanLeadership","320T"
"JOIDES Resolution transits from Singapore to Guam Feb 2009","Interviews/Career Paths","Beck/Fulton?",NA,"00:03:03",NA,"https://www.youtube.com/watch?v=_VrZK6jWKGs","OceanLeadership","320T"
"JOIDES Resolution transits from Singapore to Guam Feb 2009","Life at Sea","Beck/Fulton?",NA,"00:03:03",NA,"https://www.youtube.com/watch?v=_VrZK6jWKGs","OceanLeadership","320T"
"JOIDES Resolution transits from Singapore to Guam Feb 2009","Labs","Beck/Fulton?",NA,"00:03:03",NA,"https://www.youtube.com/watch?v=_VrZK6jWKGs","OceanLeadership","320T"
"JOIDES Resolution transits from Singapore to Guam Feb 2009","Ocean","Beck/Fulton?",NA,"00:03:03",NA,"https://www.youtube.com/watch?v=_VrZK6jWKGs","OceanLeadership","320T"
"JOIDES Resolution transits from Singapore to Guam Feb 2009","Bridge","Beck/Fulton?",NA,"00:03:03",NA,"https://www.youtube.com/watch?v=_VrZK6jWKGs","OceanLeadership","320T"
"JOIDES Resolution transits from Singapore to Guam Feb 2009","Life Boats","Beck/Fulton?",NA,"00:03:03",NA,"https://www.youtube.com/watch?v=_VrZK6jWKGs","OceanLeadership","320T"
"Joides Resolution visited by a group of Pilot Whales || Expedition 396","Marine Life","Liz Olac",NA,"00:02:50",NA,"https://www.youtube.com/watch?v=OjNz-h6GAKE","Liz Olac","396"
"Joides Resolution visited by a group of Pilot Whales || Expedition 396","Ocean","Liz Olac",NA,"00:02:50",NA,"https://www.youtube.com/watch?v=OjNz-h6GAKE","Liz Olac","396"
"JOIDES Resolution: Mental health and self care","Drilling/Rigfloor",NA,NA,"00:04:54",NA,"https://www.youtube.com/watch?v=5WcQnzfS8c0","The JOIDES Resolution","General"
"JOIDES Resolution: Mental health and self care","Moonpool",NA,NA,"00:04:54",NA,"https://www.youtube.com/watch?v=5WcQnzfS8c0","The JOIDES Resolution","General"
"JOIDES Resolution: Mental health and self care","Steel Beach",NA,NA,"00:04:54",NA,"https://www.youtube.com/watch?v=5WcQnzfS8c0","The JOIDES Resolution","General"
"JOIDES Resolution: Mental health and self care","Labs",NA,NA,"00:04:54",NA,"https://www.youtube.com/watch?v=5WcQnzfS8c0","The JOIDES Resolution","General"
"JOIDES Resolution: Mental health and self care","Ocean",NA,NA,"00:04:54",NA,"https://www.youtube.com/watch?v=5WcQnzfS8c0","The JOIDES Resolution","General"
"JOIDES Resolution: Mental health and self care","Derrick",NA,NA,"00:04:54",NA,"https://www.youtube.com/watch?v=5WcQnzfS8c0","The JOIDES Resolution","General"
"JOIDES Resolution: Mental health and self care","Catwalk",NA,NA,"00:04:54",NA,"https://www.youtube.com/watch?v=5WcQnzfS8c0","The JOIDES Resolution","General"
"JOIDES Resolution: Mental health and self care","Interviews/Career Paths",NA,NA,"00:04:54",NA,"https://www.youtube.com/watch?v=5WcQnzfS8c0","The JOIDES Resolution","General"
"JOIDES Resolution: Mental health and self care","Life at Sea",NA,NA,"00:04:54",NA,"https://www.youtube.com/watch?v=5WcQnzfS8c0","The JOIDES Resolution","General"
"JR Academy talks Science Communication","Life at Sea",NA,NA,"00:04:52",NA,"https://www.youtube.com/watch?v=7wbSt8Y83zU","The JOIDES Resolution","385T"
"JR Academy talks Science Communication","Ocean",NA,NA,"00:04:52",NA,"https://www.youtube.com/watch?v=7wbSt8Y83zU","The JOIDES Resolution","385T"
"JR Academy talks Science Communication","Interviews/Career Paths",NA,NA,"00:04:52",NA,"https://www.youtube.com/watch?v=7wbSt8Y83zU","The JOIDES Resolution","385T"
"JR Academy talks Science Communication","Labs",NA,NA,"00:04:52",NA,"https://www.youtube.com/watch?v=7wbSt8Y83zU","The JOIDES Resolution","385T"
"JR EXP 324 Breakfast on the JR","Life at Sea","Nasseer Idrisi",NA,"00:01:08",NA,"https://www.youtube.com/watch?v=R9BJ3eeeTxA","OceanLeadership","324"
"JR EXP 324 Final Interview with Will Sager Part I","Science","Nasseer Idrisi",NA,"00:06:12",NA,"https://www.youtube.com/watch?v=rfAaUyqTnVs","OceanLeadership","324"
"JR EXP 324 Final Interview with Will Sager Part I","Interviews/Career Paths","Nasseer Idrisi",NA,"00:06:12",NA,"https://www.youtube.com/watch?v=rfAaUyqTnVs","OceanLeadership","324"
"JR EXP 324 Final Interview with Will Sager Part II","Science","Nasseer Idrisi",NA,"00:06:35",NA,"https://www.youtube.com/watch?v=CWa6gB6yGdU","OceanLeadership","324"
"JR EXP 324 Final Interview with Will Sager Part II","Interviews/Career Paths","Nasseer Idrisi",NA,"00:06:35",NA,"https://www.youtube.com/watch?v=CWa6gB6yGdU","OceanLeadership","324"
"JR EXP 324 Interview with Dr Gene Molina Part I","Interviews/Career Paths","Nasseer Idrisi",NA,"00:04:29","hospital","https://www.youtube.com/watch?v=aukz6iq35-c","OceanLeadership","324"
"JR EXP 324 Interview with Dr Gene Molina Part II","Interviews/Career Paths","Nasseer Idrisi",NA,"00:05:50","hospital","https://www.youtube.com/watch?v=uLGtQ8c00FY","OceanLeadership","324"
"JR EXP 324 Logging the bore hole after coring","Drilling/Rigfloor","Nasseer Idrisi",NA,"00:05:31",NA,"https://www.youtube.com/watch?v=oPkZLQONsm8","OceanLeadership","324"
"JR EXP 324 Logging the bore hole after coring","Science","Nasseer Idrisi",NA,"00:05:31",NA,"https://www.youtube.com/watch?v=oPkZLQONsm8","OceanLeadership","324"
"JR EXP 324 Logging the bore hole after coring","Logging","Nasseer Idrisi",NA,"00:05:31",NA,"https://www.youtube.com/watch?v=oPkZLQONsm8","OceanLeadership","324"
"JR EXP 324 Mid Cruise Will Sager Part I","Interviews/Career Paths","Nasseer Idrisi",NA,"00:04:36",NA,"https://www.youtube.com/watch?v=P4EprE9NbWA","OceanLeadership","324"
"JR EXP 324 Mid Cruise Will Sager Part I","Science","Nasseer Idrisi",NA,"00:04:36",NA,"https://www.youtube.com/watch?v=P4EprE9NbWA","OceanLeadership","324"
"JR EXP 324 Mid Cruise Will Sager Part II","Science","Nasseer Idrisi",NA,"00:05:09",NA,"https://www.youtube.com/watch?v=TTv8cfop7J8","OceanLeadership","324"
"JR EXP 324 Mid Cruise Will Sager Part II","Interviews/Career Paths","Nasseer Idrisi",NA,"00:05:09",NA,"https://www.youtube.com/watch?v=TTv8cfop7J8","OceanLeadership","324"
"JR EXP 324 Sunday Barbecue on the Deck of the JR","Steel Beach","Nasseer Idrisi",NA,"00:01:55",NA,"https://www.youtube.com/watch?v=MKWMjuOInMc","OceanLeadership","324"
"JR EXP 324 Sunday Barbecue on the Deck of the JR","Life at Sea","Nasseer Idrisi",NA,"00:01:55",NA,"https://www.youtube.com/watch?v=MKWMjuOInMc","OceanLeadership","324"
"JR EXP 324 The Gym","Life at Sea","Nasseer Idrisi",NA,"00:02:17",NA,"https://www.youtube.com/watch?v=pCuXSs8GihQ","OceanLeadership","324"
"JR EXP 324 Will Sager Interview Sept 18 2009 I","Interviews/Career Paths","Nasseer Idrisi",NA,"00:02:06",NA,"https://www.youtube.com/watch?v=_HlwtL7W9EY","OceanLeadership","324"
"JR EXP 324 Will Sager Interview Sept 18 2009 I","Science","Nasseer Idrisi",NA,"00:02:06",NA,"https://www.youtube.com/watch?v=_HlwtL7W9EY","OceanLeadership","324"
"JR EXP 324 Will Sager Interview Sept 18 2009 II","Interviews/Career Paths","Nasseer Idrisi",NA,"00:02:22",NA,"https://www.youtube.com/watch?v=_7EcQKC54_o","OceanLeadership","324"
"JR EXP 324 Will Sager Interview Sept 18 2009 II","Science","Nasseer Idrisi",NA,"00:02:22",NA,"https://www.youtube.com/watch?v=_7EcQKC54_o","OceanLeadership","324"
"JR EXP 324 Will Sager Interview Sept 18 2009 III","Interviews/Career Paths","Nasseer Idrisi",NA,"00:02:27",NA,"https://www.youtube.com/watch?v=SUXnFHBATkw","OceanLeadership","324"
"JR EXP 324 Will Sager Interview Sept 18 2009 III","Science","Nasseer Idrisi",NA,"00:02:27",NA,"https://www.youtube.com/watch?v=SUXnFHBATkw","OceanLeadership","324"
"JR Expedition 324 HBCU Educator at Sea video clip","Drilling/Rigfloor","Nasseer Idrisi",NA,"00:02:55",NA,"https://www.youtube.com/watch?v=ZIdaJoTyLCM","OceanLeadership","324"
"JR Expedition 324 HBCU Educator at Sea video clip","Labs","Nasseer Idrisi",NA,"00:02:55",NA,"https://www.youtube.com/watch?v=ZIdaJoTyLCM","OceanLeadership","324"
"JR Expedition 324 HBCU Educator at Sea video clip","Catwalk","Nasseer Idrisi",NA,"00:02:55",NA,"https://www.youtube.com/watch?v=ZIdaJoTyLCM","OceanLeadership","324"
"JR Expedition 324 HBCU Educator at Sea video clip","Interviews/Career Paths","Nasseer Idrisi",NA,"00:02:55",NA,"https://www.youtube.com/watch?v=ZIdaJoTyLCM","OceanLeadership","324"
"JR Expedition 324 Interview with Captain Peter Mowat","Interviews/Career Paths","Nasseer Idrisi",NA,"00:09:00",NA,"https://www.youtube.com/watch?v=kqh4NjB1EMI","OceanLeadership","324"
"JR Expedition 324 Interview with Captain Peter Mowat","Bridge","Nasseer Idrisi",NA,"00:09:00",NA,"https://www.youtube.com/watch?v=kqh4NjB1EMI","OceanLeadership","324"
